State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type,winner,vote_share_diff,dynastic,dynastic_1
Maharashtra,13,19,1999,9,0,3,2,fundkar pandurang pundlik,M,BJP,263527,NA,671649,1145140,AKOLA,GEN,NA,6,58.65,39.24,no,139887,20.83,2.94,GEMH32186,National Party,1605,TRUE,6,BJP,1605,AKOLA,TRUE,TRUE,3,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0
Uttar_Pradesh,13,76,1999,9,0,3,1,sheela gautam,F,BJP,219313,GEN,554097,1253174,ALIGARH,GEN,NA,16,44.22,39.58,no,80817,14.59,3.45,GEUP49130,National Party,1605,TRUE,4,BJP,1605,ALIGARH,TRUE,TRUE,4,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,14.59,1,0
Uttar_Pradesh,13,76,1999,9,0,3,2,sahab singh,M,BSP,138496,NA,554097,1253174,ALIGARH,GEN,NA,16,44.22,24.99,no,3264,0.59,3.45,GEUP21953,State-based Party,16651,TRUE,3,IND,10809,ALIGARH,TRUE,FALSE,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0
West_Bengal,13,2,1999,9,0,3,1,joachim baxla,M,RSP,389919,ST,760862,1039377,ALIPURDUARS,ST,NA,6,73.2,51.25,no,153133,20.13,2.63,GEWB63363,State-based Party,12053,TRUE,3,RSP,12053,ALIPURDUARS,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,20.13,0,0
West_Bengal,13,2,1999,9,0,3,2,dhirendra narjinarai,M,BJP,236786,NA,760862,1039377,ALIPURDUARS,ST,NA,6,73.2,31.12,no,117477,15.44,2.63,GEWB68219,National Party,1605,TRUE,2,BJP,1605,ALIPURDUARS,TRUE,TRUE,0,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0
Uttar_Pradesh,13,56,1999,9,0,3,1,dr. murli manohar joshi,M,BJP,219114,GEN,648516,1410588,ALLAHABAD,GEN,NA,10,45.97,33.79,no,70331,10.84,4.35,GEUP62210,National Party,1605,TRUE,6,BJP,1605,ALLAHABAD,TRUE,TRUE,4,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,10.849999999999998,1,0
Uttar_Pradesh,13,56,1999,9,0,3,2,kunwar rewati raman singh alias maniji,M,SP,148783,GEN,648516,1410588,ALLAHABAD,GEN,NA,10,45.97,22.94,no,15355,2.37,4.35,GEUP72407,State-based Party,7425,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,1,0
Kerala,13,15,1999,9,0,3,1,v.m. sudheeran,M,INC,392700,GEN,788776,1033539,ALLEPPEY,GEN,NA,8,76.32,49.79,no,35094,4.45,2.17,GEKL25018,National Party,3482,TRUE,4,INC,3482,ALLEPPEY,TRUE,TRUE,4,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,4.449999999999996,0,0
Kerala,13,15,1999,9,0,3,2,murali,M,CPM,357606,NA,788776,1033539,ALLEPPEY,GEN,NA,8,76.32,45.34,no,329924,41.83,2.17,GEKL73439,National Party,14635,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0
Uttar_Pradesh,13,3,1999,9,0,3,1,bachi singh rawat,M,BJP,192388,GEN,397605,965628,ALMORA,GEN,NA,10,41.18,48.39,no,11459,2.88,2.27,AEUP129422,National Party,1605,TRUE,3,BJP,1605,ALMORA,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,2.8900000000000006,0,0
