shrid,State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type,winner,vote_share_diff,dynastic,dynastic_1,dynast_3,num_cells,total_light1999,total_light_cal1999,max_light1999,total_light2004,total_light_cal2004,max_light2004,total_light2009,total_light_cal2009,max_light2009,max_light2013,ec13_district_name.x
11-08-064089,Rajasthan,15,1,2009,4,0,4,2,nihal chand,M,BJP,335886,SC,909629,1491983,ganganagar,SC,NA,15,60.97,36.93,no,306814,33.73,2.44,GERJ58627,National Party,1605,TRUE,5,BJP,1605,GANGANAGAR,TRUE,TRUE,3,FALSE,TRUE,TRUE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,9,61.5,74.5,7.5,60.5,81,7.5,75,91,10,13,ganganagar
11-08-064089,Rajasthan,13,1,1999,9,0,3,2,er. shankar pannu,M,INC,262218,SC,665090,1269075,ganganagar,SC,NA,7,52.41,39.43,no,242776,36.5,2.22,GERJ8983,National Party,3482,TRUE,2,INC,3482,GANGANAGAR,TRUE,TRUE,1,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,9,61.5,74.5,7.5,60.5,81,7.5,75,91,10,13,ganganagar
11-08-069019,Rajasthan,15,2,2009,4,0,4,1,arjun ram meghwal,M,BJP,244537,SC,569804,1381203,bikaner,SC,NA,10,41.25,42.92,no,19575,3.44,2.94,GERJ8974,National Party,1605,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),1,3.44,0,0,0,16,0,0,0,0,8,0,0,16,0,0,bikaner
11-08-069019,Rajasthan,14,2,2004,4,0,3,2,rameshwar lal,M,INC,460627,GEN,1077364,1900686,bikaner,GEN,NA,13,56.68,42.76,no,421898,39.16,2.44,GERJ76467,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,16,0,0,0,0,8,0,0,16,0,0,bikaner
11-08-069019,Rajasthan,13,2,1999,9,0,3,1,rameshwar lal dudi,M,INC,493638,NA,935738,1762589,bikaner,GEN,NA,9,53.09,52.75,no,94509,10.1,2.17,GERJ73942,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,10.1,0,0,0,16,0,0,0,0,8,0,0,16,0,0,bikaner
11-08-069019,Rajasthan,13,2,1999,9,0,3,2,rampratap kasania,M,BJP,399129,NA,935738,1762589,bikaner,GEN,NA,9,53.09,42.65,no,375116,40.09,2.17,GERJ73943,National Party,1605,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,16,0,0,0,0,8,0,0,16,0,0,bikaner
11-08-069019,Rajasthan,14,2,2004,4,0,3,1,dharmendra,M,BJP,517802,GEN,1077364,1900686,bikaner,GEN,NA,13,56.68,48.06,no,57175,5.31,2.44,GERJ76474,National Party,1605,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,12th Pass,Other,NA,NA,NA,Lok Sabha Election (GE),1,5.3,0,0,0,16,0,0,0,0,8,0,0,16,0,0,bikaner
11-08-069019,Rajasthan,15,2,2009,4,0,4,2,rewat ram panwar,M,INC,224962,SC,569804,1381203,bikaner,SC,NA,10,41.25,39.48,no,185656,32.58,2.94,GERJ8987,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,16,0,0,0,0,8,0,0,16,0,0,bikaner
11-08-069940,Rajasthan,15,3,2009,4,0,4,1,ram singh kaswan,M,BJP,376708,GEN,802467,1532266,churu,GEN,NA,15,52.37,46.94,no,12440,1.55,2.33,GERJ46750,National Party,1605,TRUE,6,BJP,1605,CHURU,TRUE,TRUE,4,FALSE,TRUE,TRUE,Graduate Professional,Other,NA,NA,NA,Lok Sabha Election (GE),1,1.55,1,0,1,60,29.5,47.5,3.5,70,123.5,3.5,80,140,5,8,churu
11-08-069940,Rajasthan,14,3,2004,4,0,3,1,ramsingh kaswan,M,BJP,400718,GEN,833976,1371821,churu,GEN,NA,9,60.79,48.05,no,29854,3.58,2.33,GERJ46750,National Party,1605,TRUE,5,BJP,1605,CHURU,TRUE,TRUE,3,FALSE,TRUE,TRUE,Graduate Professional,Other,NA,NA,NA,Lok Sabha Election (GE),1,3.58,1,0,1,60,29.5,47.5,3.5,70,123.5,3.5,80,140,5,8,churu
