Full_name_pdf,Candidate_trivedi_filtered,score
VASUNDHARA RAJE SCINDIA,YASHODHARA RAJE SCINDIA,87
HANWANT SINGH,JASWANT SINGH,85
KRISHNA KUMARI,RAM KRISHNA KUSMARIA,82
AJIT SINGH,AJIT SINGH,100
CHANDRESH KUMARI KATOCH,CHANDRESH KUMARI,82
MAHENDRA KUMARI,Mahendra Kumari,100
JITENDRA SINGH,JITENDRA SINGH,100
BRIJRAJ SINGH,IJYARAJ SINGH,85
IJYARAJ SINGH,IJYARAJ SINGH,100
RAM SINGH KASWAN,Ram Singh Kaswan,100
RAHUL KASWAN,RAMSINGH KASWAN,74
JASWANT SINGH,JASWANT SINGH,100
MANVENDRA SINGH,Manvendra Singh,100
VIJAYENDRA SINGH,VIJAYENDRAPAL SINGH,91
BEGA RAM MEGHWAL,BHARAT RAM MEGHWAL,82
NIHAL CHAND CHAUHAUN,NIHAL CHAND,71
BADRI RAM JAKHAR,BADRI RAM JAKHAR,100
GIRRAJ SARAN SINGH,Dr Karan Singh,75
VISHVENDRA SINGH SINGH,Vishvendra Singh,84
DIVYA KUMARI SINGH,MAHARANI DIVYA SINGH,84
BRIJENDRA SINGH,BIJENDRA SINGH,97
K. NATWAR SINGH,R. K. SINGH PATEL,76
JASWANT SINGH YADAV,JASWANT SINGH YADAV,100
RAM RAGHUNATH CHAUDHARY,Ram Raghunath Choudhary,96
MAHENDRA BHATI,MAHENDER SINGH BHATI,76
NAWAL KISHORE SHARMA,NAWAL KISHORE RAI,86
GUMAN MAL LODHA,GUMANMAL LODHA,76
GAJADHAR SOMANI,Gajadhar Singh,76
NAND KUMAR SOMANI,NAND KUMAR SAI,90
BHAWANI SINGH,HARI SINGH,78
DR. KARNI BAHADUR SINGH,SHIVENDRA BAHADUR SINGH,76
RAGUNATH MAHARAWAL SINGH,Harpal Singh Sathi,71
NATHU SINGH/GUJJAR,RAJNATH SINGH,71
MAHENDRA SINGH MEWAR,MAHENDRA SINGH MEWAR,100
HEMENDRA SINGH BANERA,SHIVENDRA BAHADUR SINGH,73
VISHNU KUMAR MODI,SUSHIL KUMAR MODI,76
GAYATRI DEVI,Omwati Devi,70
PRIVITHRAJ SINGH,SHIVRAJ SINGH,76
L.M. SINGHVI,V. M. SINGH,80
BHIM SINGH,HARI SINGH,80
BAL RAM JAKHAR,BAL RAM JAKHAR,100
MOHAN LAL SUKHADIA,LALIT MOHAN SUKLABAIDYA,78
USHA DEVI MEENA,USHA DEVI,75
MAHENDRA MALVIYA,Mahendra Sahni,73
Dev VARMA,RAMA DEVI,78
Pranab MUKHERJEE,SUBRATA MUKHERJEE,79
Abhijit MUKHERJEE,BRAJA MUKHERJEE,75
Ajit Kumar PANJA,AJIT KUMAR MEHTA,75
Dr. Ranjit Kumar PANJA,DR. KUMAR PUSHPANJAY,70
Amal DATA,Kamal Nath,74
Susmita BAURI,SUSMITA BAURI,100
Ananda Mohan BISWAS,ANAND MOHAN,73
